datasetid;title;description;theme;keyword;license;license_url;language;timezone;modified;modified_updates_on_metadata_change;modified_updates_on_data_change;data_processed;metadata_processed;publisher;references;records_count;attributions;source_domain;source_domain_title;source_domain_address;source_dataset;federated;oauth_scope;parent_domain;dcat.created;dcat.issued;dcat.creator;dcat.contributor;dcat.contact_name;dcat.contact_email;dcat.accrualperiodicity;dcat.spatial;dcat.temporal;dcat.granularity;dcat.dataquality;inspire.theme;inspire.type;inspire.file_identifier;inspire.hierarchy_level;inspire.hierarchy_level_name;inspire.spatial_resolution;inspire.topologic_consistency;inspire.contact_individual_name;inspire.contact_position;inspire.contact_address;inspire.contact_email;inspire.identification_purpose;inspire.extend_description;inspire.extend_bounding_box_westbound_longitude;inspire.extend_bounding_box_eastbound_longitude;inspire.extend_bounding_box_southbound_latitude;inspire.extend_bounding_box_northbound_latitude;dcat_ap_ch.domain;dcat_ap_ch.rights;semantic.rml_mapping;semantic.classes;semantic.properties;explore.download_count
equipements_de_proximite;Équipements de proximité;"<p> Liste des équipements de proximité (piscines, bibliothèques,jardins, gymnases,...)
  <br/>
<br/><strong>Exemple(s) de réutilisation(s) des données</strong> :
  <br/>- La bibliothèque la plus proche de vous avec l'<a href=""http://parisbibli.bulte.net/"" target=""_blank"" title=""App Paris Bibli"">application Open Source pour iPhone Paris Bibli</a>
<br/> - Cartographie sur <a href=""http://www.govdata.eu/Samples/Paris/ParisEquipements.html"" target=""_blank"" title=""Cartographie sur govdate.eu"">http://www.govdata.eu/Samples/Paris/ParisEquipements.html</a>
<br/>- Application mobile Windows Phone <a href=""http://www.windowsphone.com/fr-FR/apps/2458a842-c90c-4423-846c-38031595c090"" target=""_blank"" title=""Paris Equipements"">Paris Equipements</a>
<br/>- Application sur Windows8 : <a href=""http://apps.microsoft.com/webpdp/fr-fr/app/paris-equipements/27a5085f-0215-49f4-b91e-629f4e126d3d/m/ROW"" target=""_blank"" title=""app win 8"">Paris Equipements</a>
<br/></p>";Equipements, Services, Social;équipement, piscine, gymnase, jardin;Open Database License (ODbL);http://opendatacommons.org/licenses/odbl/;fr;;2013-05-30T01:51:25+00:00;;;2017-05-13T08:51:21+00:00;2017-05-13T08:51:22+00:00;Mairie de Paris / Direction du Patrimoine et de l’Architecture;;2193;;;;;;False;;;;2011-01-17;Ville de Paris;Ville de Paris;;;annuelle;Paris;2011;Paris;;;;;;;;;;;;;;;;;;;;;;;;5807
concessions_dans_les_jardins;Concessions dans les jardins;<p>Liste des concessions (manèges, chalet de vente,...)  dans les jardins parisiens par arrondissement.</p><p>La carte est approximative car basée sur l'emplacement du jardin et non de la concession</p>;Environnement;jardin, parc, concessions, chalet de vente, manège, théâtre, souvenirs;Open Database License (ODbL);http://opendatacommons.org/licenses/odbl/;fr;;2013-05-30T01:51:37+00:00;;;2017-05-13T09:03:13+00:00;2017-05-13T09:03:14+00:00;Mairie de Paris / Direction des Espaces Verts et de l'Environnement;;118;;;;;;False;;;;2011-01-26;;;;;non précisée;;;;;;;;;;;;;;;;;;;;;;;;;;;2881
tonnages_des_dechets_bacs_verts;Tonnages des déchets bacs verts;Tonnages des déchets bacs verts collectés par arrondissement et par mois.;Environnement;collecte, déchets;Open Database License (ODbL);http://opendatacommons.org/licenses/odbl/;fr;;2013-05-30T01:51:37+00:00;;;2017-05-13T09:03:09+00:00;2017-05-13T09:03:10+00:00;Mairie de Paris / Direction de la Propreté et de l'Eau;;21;;;;;;False;;;;2012-04-16;;;;;Annuelle;;;;;;;;;;;;;;;;;;;;;;;;;;;2237
liste_des_associations_parisiennes;Liste des associations parisiennes;"<p>Liste des associations en relation avec la municipalité parisienne. </p><p>Ce jeu de données comprend le nom statutaire de l'association, son code postal et sa ville d'enregistrement, ses secteurs d'activité, son domaine d'activité, ses publics, son secteur géographique d'activité et l'identifiant de sa fiche si elle est présente dans l'annuaire parisien des associations accessible via l'adresse :<a href="" http://w35-associations.apps.paris.fr/searchasso/jsp/site/Portal.jsp?page=searchasso&amp;id;=[IDASSO]"" target=""_blank""> http://w35-associations.apps.paris.fr/searchasso/jsp/site/Portal.jsp?page=searchasso&amp;id;=[IDASSO]</a></p><p>Attention :</p><p>- Le fichier dispose déjà du caractère ""dollar"" comme séparateur.
- Les mêmes lignes semblent parfois se répéter plusieurs fois mais cette répétition est justifiée par une information potentiellement différente dans chaque ligne.
Par exemple si l’association déclare dédier son activité au public des jeunes et au public des adultes, elle sera répétée deux fois, une fois par public. Idem pour son champs d’activité, son secteur d’activité, son secteur géographique. Nous allons publier cette précision dans la fiche pour éviter les malentendus.</p>";Equipements, Services, Social;annuaire, association;Open Database License (ODbL);http://opendatacommons.org/licenses/odbl/;fr;;2013-05-30T01:51:37+00:00;;;2017-05-13T09:26:43+00:00;2017-05-13T09:26:44+00:00;Mairie de Paris / Direction de la Démocratie, des Citoyens et des Territoires;;70993;;;;;;False;;;;2012-02-16;;;;;Annuelle;;;;;;;;;;;;;;;;;;;;;;;;;;;19697
horloges_exterieures_et_interieures;Horloges extérieures et intérieures;Listes des horloges mécaniques extérieures et intérieures, monumentales ou de  cheminée pour certaines très anciennes présentes sur des sites municipaux.;Equipements, Services, Social;horloges, monumentales, mécaniques, cheminées anciennes;Open Database License (ODbL);http://opendatacommons.org/licenses/odbl/;fr;;2013-05-30T01:51:38+00:00;;;2017-05-13T09:20:23+00:00;2017-05-13T09:20:24+00:00;Mairie de Paris / Direction du Patrimoine et de l’Architecture;;1205;;;;;;False;;;;2012-04-13;;;;;Annuelle;;;;;;;;;;;;;;;;;;;;;;;;;;;2376
tonnages_des_dechets_bacs_jaunes;Tonnages des déchets bacs jaunes;Tonnages des déchets bacs jaunes collectés par arrondissement et par mois.;Environnement;collecte, dechets, arrondissement;Open Database License (ODbL);http://opendatacommons.org/licenses/odbl/;fr;;2013-05-30T01:51:38+00:00;;;2017-05-13T09:20:42+00:00;2017-05-13T09:20:43+00:00;Mairie de Paris / Direction de la Propreté et de l'Eau;;21;;;;;;False;;;;2012-04-16;;;;;Annuelle;Paris;;;;;;;;;;;;;;;;;;;;;;;;;;3953
tonnages_de_la_collecte_du_verre;Tonnages de la collecte du verre;Tonnages de la collecte du verre en porte à porte, via les gros producteurs et en colonnes à verre par arrondissement et par mois.;Environnement;collecte, dechets, arrondissement, verre;Open Database License (ODbL);http://opendatacommons.org/licenses/odbl/;fr;;2013-05-30T01:51:38+00:00;;;2017-05-13T09:20:52+00:00;2017-05-13T09:20:53+00:00;Mairie de Paris / Direction de la Propreté et de l'Eau;;21;;;;;;False;;;;2012-04-16;;;;;Annuelle;;;;;;;;;;;;;;;;;;;;;;;;;;;2910
les_references_les_plus_reservees_en_2011;Références bibliographiques les plus réservées des bibliothèques de prêt en 2011;"<p>
<span style=""line-height: 1.45em;"">Les Références les plus réservées en 2011 par les usagers dans le catalogue des bibliothèques de prêt</span>
</p>";Culture;bibliothèque, réservation, prêt, catalogue, références;Open Database License (ODbL);http://opendatacommons.org/licenses/odbl/;fr;;2013-06-20T10:09:27+00:00;;;2017-05-13T12:04:49+00:00;2017-05-13T12:04:50+00:00;Mairie de Paris / Direction des Affaires Culturelles  ;;1000;;;;;;False;;;;2012-10-23;Ville de Paris;Ville de Paris;;;;;2011;;;;;;;;;;;;;;;;;;;;;;;;;3475
liste_des_ouvrages_des_bibliotheques_en_janvier_2009;Liste des ouvrages des bibliothèques en janvier 2009;"<p>
	<span style=""line-height: 1.45em;"">Liste des ouvrages (notice bibliographique et localisation) dans les bibliothèques parisiennes au 02/01/2009</span>
</p>";Culture;livres, bibliothèque, notice bibliographique, ouvrage;Open Database License (ODbL);http://opendatacommons.org/licenses/odbl/;fr;;2013-06-20T15:47:25+00:00;;;2017-05-13T12:48:16+00:00;2017-05-13T12:48:17+00:00;;;669751;;;;;;False;;;;2009-04-06;Ville de Paris;Ville de Paris;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2423
statistiques_de_creation_d_actes_d_etat_civil;Statistiques de création d'actes d'état-civil;"<p>
<span style=""line-height: 1.45em;"">Comptabilité des d'actes d'état-civil correspondant aux naissances, reconnaissances, mariages et décès.<br/></span></p>";Citoyenneté;naissance, mariage, civil, reconnaissance;Open Database License (ODbL);http://opendatacommons.org/licenses/odbl/;fr;;2013-06-20T15:56:20+00:00;False;False;2017-05-13T08:58:04+00:00;2019-05-27T08:04:45+00:00;Mairie de Paris / Direction de la Démocratie, des Citoyens et des Territoires;;141;;;;;;False;;;;2011-01-17;;;;;Annuelle;;;;;;;;;;;;;;;;;;;;;;;;;;;1496
