Département;Département commune;Libellé de commune;Arrondissement;Canton ville;Zone d'emploi;Unité urbaine;Population 2010;Hypermarché;Supermarché;Grande surface de bricolage;Supérette;Epicerie;Boulangerie;Boucherie charcuterie;Produits surgelés;Poissonnerie;Librairie papeterie journaux;Magasin de vêtements;Magasin d'équipements du foyer;Magasin de chaussures;Magasin d'électroménager et de mat. audio-vidéo;Magasin de meubles;Magasin d'articles de sports et de loisirs;Magasin de revêtements murs et sols;Droguerie quincaillerie bricolage;Parfumerie;Horlogerie Bijouterie;Fleuriste;Magasin d'optique;Station service;geo_point_2d;geo_shape
91;91425;Montlhéry;913;9120;1116;00851;6840;0;1;1;1;4;3;2;1;0;3;3;3;1;1;2;1;0;3;1;1;2;2;0;48.6422562554, 2.26812085232;"{""type"": ""Polygon"", ""coordinates"": [[[2.281575738855799, 48.627005953057264], [2.267985969975731, 48.63717790187016], [2.252930406487889, 48.63935126296116], [2.248510890675266, 48.645602177991684], [2.257880670657986, 48.65014952436092], [2.273006686282875, 48.651906873068704], [2.281661427327475, 48.643503857811424], [2.281575738855799, 48.627005953057264]]]}"
91;91538;Saint-Aubin;913;9103;1116;00851;690;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;48.7149626666, 2.1395315453;"{""type"": ""Polygon"", ""coordinates"": [[[2.155101500254648, 48.71806161892654], [2.152152846292152, 48.7079394754237], [2.142027347229837, 48.706301971705415], [2.127386015320759, 48.70982073351298], [2.123300411404308, 48.715979271458316], [2.126616073810309, 48.72173330453653], [2.143858238978393, 48.72312651480234], [2.155101500254648, 48.71806161892654]]]}"
91;91666;Villejust;913;9135;1116;00851;2247;0;0;1;0;0;0;0;0;0;1;0;2;0;0;1;0;0;0;0;0;0;0;0;48.6777382383, 2.22294283132;"{""type"": ""Polygon"", ""coordinates"": [[[2.208440230988943, 48.66614869176663], [2.19545645913776, 48.668886247328764], [2.208911635372384, 48.67717982546011], [2.204715333861176, 48.685166492274064], [2.223873285411332, 48.68494191366196], [2.235521644756692, 48.69009031382648], [2.241772918302237, 48.685290937382355], [2.245486451736617, 48.67365695883158], [2.235384373825148, 48.67346666805832], [2.228700675400385, 48.66896205077116], [2.214580463685917, 48.671433464466574], [2.208440230988943, 48.66614869176663]]]}"
91;91122;Bures-sur-Yvette;913;9121;1116;00851;9535;0;1;0;1;1;2;1;0;0;2;0;0;0;0;0;0;0;0;0;0;2;2;0;48.6929979919, 2.15838686116;"{""type"": ""Polygon"", ""coordinates"": [[[2.161288984972471, 48.67556803747717], [2.153378907232919, 48.67839956933676], [2.150231104275433, 48.68403509881167], [2.141560081331339, 48.68593392205398], [2.145658180144769, 48.687879301747515], [2.145298554815942, 48.697411452011195], [2.160814846228304, 48.705958876805674], [2.170751870951656, 48.706658005011704], [2.175163690695225, 48.6957867419333], [2.165981212247245, 48.69476042493666], [2.161288984972471, 48.67556803747717]]]}"
91;91477;Palaiseau;913;9122;1116;00851;30285;0;2;0;0;8;9;9;0;1;6;13;4;4;4;1;0;0;4;1;1;5;6;0;48.7146765876, 2.22881488083;"{""type"": ""Polygon"", ""coordinates"": [[[2.259350145073967, 48.70649437017034], [2.245001965969263, 48.707213962773125], [2.23453546376291, 48.70084188840207], [2.209710850465963, 48.70158848984277], [2.192794946986926, 48.71198122032623], [2.193479634091989, 48.71869596677259], [2.203462249301239, 48.72104768480696], [2.212902148744488, 48.72880078675311], [2.220793867963497, 48.725668455355226], [2.235449123822614, 48.727562170130774], [2.250559875712411, 48.726209873815364], [2.266836157460963, 48.71827873915958], [2.259350145073967, 48.70649437017034]]]}"
91;91044;Ballainvilliers;913;9135;1116;00851;3795;0;1;3;1;0;1;0;0;0;2;1;0;1;0;0;1;1;0;0;0;1;0;2;48.6713240802, 2.28913874502;"{""type"": ""Polygon"", ""coordinates"": [[[2.291325367895718, 48.65758521237107], [2.276122658583966, 48.66022836796183], [2.277011555011158, 48.67057810806104], [2.28612861475477, 48.686185361042405], [2.305157018848814, 48.67831925093628], [2.30007159073682, 48.66959134757039], [2.291325367895718, 48.65758521237107]]]}"
91;91136;Champlan;913;9135;1116;00851;2525;0;0;0;0;0;1;0;0;1;1;1;1;0;1;0;1;0;1;0;0;2;0;1;48.7083599746, 2.27815398132;"{""type"": ""Polygon"", ""coordinates"": [[[2.284892042775739, 48.69912156659739], [2.268193302148986, 48.70387749032038], [2.259350145073967, 48.70649437017034], [2.266836157460963, 48.71827873915958], [2.293929238042677, 48.71212785468337], [2.293806596796809, 48.70511123471632], [2.292397752353433, 48.69975998439519], [2.284892042775739, 48.69912156659739]]]}"
91;91587;Saulx-les-Chartreux;913;9135;1116;00851;5048;0;0;0;0;4;1;3;0;0;0;0;0;0;1;0;1;0;0;0;0;3;1;0;48.6850264714, 2.26634749221;"{""type"": ""Polygon"", ""coordinates"": [[[2.264980876618781, 48.670432580241474], [2.245486451736617, 48.67365695883158], [2.241772918302237, 48.685290937382355], [2.265725234399633, 48.69770086927906], [2.268193302148986, 48.70387749032038], [2.284892042775739, 48.69912156659739], [2.28612861475477, 48.686185361042405], [2.277011555011158, 48.67057810806104], [2.264980876618781, 48.670432580241474]]]}"
91;91635;Vauhallan;913;9103;1116;00851;1985;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;48.7307999031, 2.19905265979;"{""type"": ""Polygon"", ""coordinates"": [[[2.203462249301239, 48.72104768480696], [2.184788032923727, 48.726876094085654], [2.183186252260459, 48.73019318297988], [2.190237830067613, 48.73928984710274], [2.204036107205519, 48.73691812290867], [2.213676941384516, 48.73784549864511], [2.212902148744488, 48.72880078675311], [2.203462249301239, 48.72104768480696]]]}"
91;91665;La Ville-du-Bois;913;9120;1116;00851;7138;1;1;1;0;0;2;3;0;0;2;27;3;5;2;4;3;0;2;3;7;2;5;1;48.6610194975, 2.26503430984;"{""type"": ""Polygon"", ""coordinates"": [[[2.257880670657986, 48.65014952436092], [2.250865228589127, 48.66604506239389], [2.264980876618781, 48.670432580241474], [2.277011555011158, 48.67057810806104], [2.276122658583966, 48.66022836796183], [2.273006686282875, 48.651906873068704], [2.257880670657986, 48.65014952436092]]]}"
91;91679;Villiers-le-Bâcle;913;9103;1116;00851;1204;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;48.7288080861, 2.1221470247;"{""type"": ""Polygon"", ""coordinates"": [[[2.110332692821421, 48.714381141190366], [2.107693288719874, 48.7177075324668], [2.106156447293099, 48.71934209271171], [2.110479736423849, 48.724906226346405], [2.101167253189999, 48.732787859400496], [2.104654423752266, 48.73797705311927], [2.117747165025385, 48.74136659341176], [2.134979897435428, 48.737139276053675], [2.145909728032609, 48.72986030377591], [2.143858238978393, 48.72312651480234], [2.126616073810309, 48.72173330453653], [2.123300411404308, 48.715979271458316], [2.110332692821421, 48.714381141190366]]]}"
